year,h_pct10,h_pct25,h_median,h_pct75,h_pct90,h_mean,tot_emp
2011,8.61,9.29,10.33,11.38,15.33,10.9,6480
2012,8.42,8.89,9.92,11.24,15.81,10.74,7590
2013,8.55,9.13,10.2,11.35,16.1,10.99,7960
2014,8.58,9.14,10.11,11.27,13.63,10.73,8250
2015,9.36,9.91,10.92,11.98,14.73,11.71,7460
2016,10.01,10.7,11.93,13.94,19.03,12.96,7150
2017,10.95,12.05,13.31,14.7,20.2,14.07,6890
2018,11.08,11.85,13.43,14.99,18.08,14.02,12520
2019,11.71,12.72,14.73,16.89,18.87,15.23,12750
2020,13.02,13.95,15.99,18.25,19.71,16.56,9530
2021,14.43,16.35,17.57,18.42,19.47,17.52,7250
