year,h_pct10,h_pct25,h_median,h_pct75,h_pct90,h_mean,tot_emp
2011,8.69,9.44,10.47,11.53,19.14,12.19,21200
2012,8.57,9.24,10.31,11.38,17.5,11.88,22170
2013,8.66,9.43,10.52,11.59,17.58,12.13,22650
2014,8.72,9.5,10.92,13.33,19.57,12.63,21970
2015,9.73,10.99,13.12,17.29,22.98,15.41,19940
2016,10.93,12.46,14.23,19.75,26.8,17.35,22670
2017,11.97,12.98,14.32,18.3,27.71,17.93,22670
2018,11.07,11.92,14.24,18.11,29.29,17.54,42870
2019,11.55,12.38,14.68,18.33,27.73,18.18,45000
2020,13.02,13.85,16.36,19.75,29.59,19.64,32170
2021,14.39,14.71,16.86,18.37,22.89,18.09,23510
